=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/esp-01.txt
  - documents/esp-02.txt
  - documents/esp-03.txt
  - documents/esp-04.txt
  - documents/esp-05.txt
  - documents/esp-06.txt
  - documents/esp-07.txt
  - documents/esp-08.txt
  - documents/esp-09.txt
  - documents/esp-10.txt

•Stop Words File: stop-words/stop-words-es.txt
•Lemmatization File: lemmatization/corpus-es.json

=============================== TABLES OF TERMS ================================

=========================== documents/esp-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
desangrndose                      0.000000    1.000000    0.000000            N/A
desapareca                        0.000000    1.000000    0.000000            N/A
desaparecer                       1.000000    0.698970    0.046899          7, 11
desapareci                        1.000000    0.698970    0.046899          9, 34
descansar                         0.000000    1.000000    0.000000            N/A
descendamos                       0.000000    1.000000    0.000000            N/A
descubr                           0.000000    1.000000    0.000000            N/A
desdentadas                       0.000000    1.000000    0.000000            N/A
deseo                             0.000000    0.698970    0.000000            N/A
desequilibrado                    0.000000    1.000000    0.000000            N/A
desesperada                       0.000000    1.000000    0.000000            N/A
deshizo                           0.000000    1.000000    0.000000            N/A
deslizaba                         0.000000    1.000000    0.000000            N/A
desnud                            0.000000    1.000000    0.000000            N/A
despacio                          1.301030    0.522879    0.061018          6, 53
despedazramos                     0.000000    1.000000    0.000000            N/A
despejado                         0.000000    1.000000    0.000000            N/A
despert                           0.000000    1.000000    0.000000            N/A
despertada                        0.000000    1.000000    0.000000            N/A
despertar                         1.000000    1.000000    0.046899         14, 21
despertaron                       0.000000    1.000000    0.000000            N/A
despierta                         0.000000    1.000000    0.000000            N/A
despleg                           1.000000    1.000000    0.046899          5, 28
desplegaban                       0.000000    1.000000    0.000000            N/A
desprender                        0.000000    1.000000    0.000000            N/A
despus                            1.301030    0.301030    0.061018           5, 1
destino                           0.000000    0.522879    0.000000            N/A
destrozramos                      0.000000    1.000000    0.000000            N/A
desvanecerse                      1.000000    1.000000    0.046899          7, 26
desvanecieron                     0.000000    1.000000    0.000000            N/A
detalle                           0.000000    1.000000    0.000000            N/A
detenerme                         0.000000    1.000000    0.000000            N/A
detenido                          1.000000    1.000000    0.046899         10, 13
determinados                      0.000000    1.000000    0.000000            N/A
detiene                           0.000000    0.698970    0.000000            N/A
detrs                             0.000000    1.000000    0.000000            N/A
detuve                            1.000000    0.522879    0.046899          2, 45
