=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/document-01.txt
  - documents/document-02.txt

•Stop Words File: stop-words/stop-words-en.txt
•Lemmatization File: lemmatization/corpus-en.json

=============================== TABLES OF TERMS ================================

=========================== documents/document-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
trees                             1.602060    0.000000    0.090858          1, 19
turn                              1.000000    0.301030    0.056713          4, 11
unnoticed                         1.000000    0.000000    0.056713          6, 63
unseen                            1.000000    0.000000    0.056713          7, 47
unusually                         1.000000    0.000000    0.056713          1, 21
urgency                           1.000000    0.301030    0.056713          2, 79
vanished                          0.000000    0.301030    0.000000            N/A
wait                              1.477121    0.000000    0.083772          8, 31
walk                              1.954243    0.000000    0.110831          0, 11
wander                            1.000000    0.301030    0.056713          4, 65
warmer                            1.000000    0.000000    0.056713         14, 16
wasnt                             1.301030    0.000000    0.073786          3, 17
waste                             1.000000    0.000000    0.056713          6, 74
watch                             1.000000    0.000000    0.056713          7, 21
water                             1.778151    0.000000    0.100845          3, 20
waters                            0.000000    0.301030    0.000000            N/A
wave                              1.000000    0.000000    0.056713          2, 27
whisper                           1.000000    0.301030    0.056713          1, 29
whispered                         1.000000    0.000000    0.056713         13, 18
whispering                        0.000000    0.301030    0.000000            N/A
wide                              1.000000    0.000000    0.056713          5, 47
wider                             0.000000    0.301030    0.000000            N/A
wild                              1.000000    0.301030    0.056713          2, 20
wind                              1.000000    0.000000    0.056713          1, 31
wings                             1.000000    0.000000    0.056713          9, 10
woods                             0.000000    0.301030    0.000000            N/A
words                             1.000000    0.000000    0.056713          6, 21
world                             1.477121    0.000000    0.083772          1, 70
worry                             0.000000    0.301030    0.000000            N/A
worth                             1.000000    0.301030    0.056713         11, 28
wound                             0.000000    0.301030    0.000000            N/A
write                             1.845098    0.000000    0.104641          0, 69
yellow                            1.000000    0.301030    0.056713          0, 32


=========================== documents/document-02.txt ==========================

Term                                    TF         IDF       TFIDF          Index
------------------------------------------------------------------------------------------
a                                 2.301030    0.000000    0.122353          0, 10
accept                            0.000000    0.301030    0.000000            N/A
acceptance                        1.000000    0.000000    0.053173         11, 51
achieve                           1.000000    0.301030    0.053173         11, 23
admire                            1.000000    0.301030    0.053173          7, 71
afraid                            0.000000    0.301030    0.000000            N/A
air                               1.698970    0.000000    0.090339          0, 36
alive                             1.000000    0.000000    0.053173          1, 37
alongjust                         1.000000    0.301030    0.053173          0, 53
altogether                        1.000000    0.301030    0.053173         10, 26
anchored                          1.000000    0.301030    0.053173          4, 48
appointments                      1.000000    0.301030    0.053173          2, 82
arrive                            1.000000    0.301030    0.053173          0, 70
asleep                            1.000000    0.000000    0.053173          5, 32
attention                         1.301030    0.000000    0.069180          1, 33
awake                             1.000000    0.301030    0.053173         14, 21
balance                           1.000000    0.000000    0.053173          7, 69
beautiful                         1.000000    0.000000    0.053173          3, 19
beauty                            1.000000    0.000000    0.053173          10, 8
bend                              0.000000    0.301030    0.000000            N/A
beneath                           1.000000    0.000000    0.053173          7, 44
birds                             1.000000    0.000000    0.053173          1, 50
bother                            1.000000    0.301030    0.053173          9, 34
branch                            0.000000    0.301030    0.000000            N/A
branches                          1.000000    0.301030    0.053173          1, 49
breathe                           1.301030    0.000000    0.069180          2, 63
breeze                            1.000000    0.301030    0.053173         13, 22
bright                            1.000000    0.301030    0.053173          9, 46
brighter                          1.000000    0.301030    0.053173          5, 54
bring                             1.000000    0.301030    0.053173          0, 51
brush                             1.000000    0.000000    0.053173          5, 22
busier                            0.000000    0.301030    0.000000            N/A
busy                              1.000000    0.301030    0.053173         14, 22
calm                              1.000000    0.000000    0.053173           0, 4
calmness                          1.000000    0.301030    0.053173          7, 37
care                              1.000000    0.000000    0.053173         11, 25
carefully                         1.301030    0.301030    0.069180          4, 31
carry                             1.301030    0.000000    0.069180          0, 37
catch                             1.301030    0.000000    0.069180          1, 31
challenge                         1.000000    0.301030    0.053173         14, 43
chase                             1.000000    0.301030    0.053173          2, 90
circles                           1.000000    0.301030    0.053173          7, 23
clean                             1.000000    0.301030    0.053173          4, 19
climb                             1.301030    0.301030    0.069180          0, 19
close                             1.301030    0.000000    0.069180           6, 6
comfort                           0.000000    0.301030    0.000000            N/A
conditions                        1.000000    0.301030    0.053173         11, 45
confidently                       1.000000    0.301030    0.053173          1, 59
connect                           1.000000    0.000000    0.053173          3, 86
constant                          1.000000    0.301030    0.053173          2, 70
constantly                        1.000000    0.301030    0.053173         10, 10
continue                          1.000000    0.301030    0.053173           3, 2
contribute                        1.000000    0.301030    0.053173          7, 66
cool                              0.000000    0.301030    0.000000            N/A
coolness                          1.000000    0.301030    0.053173          0, 45
couldnt                           1.000000    0.000000    0.053173          3, 35
cover                             0.000000    0.301030    0.000000            N/A
crisp                             1.000000    0.000000    0.053173          0, 39
crowded                           1.000000    0.301030    0.053173          8, 10
currentsall                       1.000000    0.000000    0.053173          7, 63
daily                             1.477121    0.301030    0.078543          1, 73
dampness                          0.000000    0.301030    0.000000            N/A
dance                             1.000000    0.301030    0.053173          6, 45
darted                            0.000000    0.301030    0.000000            N/A
darting                           1.000000    0.301030    0.053173          1, 58
day                               1.477121    0.000000    0.078543          5, 57
deadlines                         1.000000    0.301030    0.053173          2, 88
decide                            1.000000    0.000000    0.053173           0, 7
deeper                            1.000000    0.000000    0.053173          8, 27
deeply                            1.000000    0.000000    0.053173         11, 55
deliberate                        1.000000    0.301030    0.053173          4, 45
demand                            1.477121    0.000000    0.078543          4, 34
details                           1.000000    0.000000    0.053173         13, 53
didnt                             1.845098    0.000000    0.098109          0, 50
dirt                              0.000000    0.301030    0.000000            N/A
disappear                         0.000000    0.301030    0.000000            N/A
discover                          1.000000    0.301030    0.053173         13, 48
distractions                      0.000000    0.301030    0.000000            N/A
disturb                           0.000000    0.301030    0.000000            N/A
dragonfly                         1.301030    0.000000    0.069180           9, 1
draw                              1.000000    0.301030    0.053173           3, 9
earlier                           0.000000    0.301030    0.000000            N/A
early                             1.000000    0.301030    0.053173          0, 33
earth                             1.301030    0.000000    0.069180          3, 49
easier                            1.000000    0.301030    0.053173          6, 26
easily                            0.000000    0.301030    0.000000            N/A
easy                              0.000000    0.301030    0.000000            N/A
edge                              1.477121    0.000000    0.078543          2, 53
emptiness                         1.000000    0.000000    0.053173          7, 43
erased                            1.301030    0.301030    0.069180          6, 73
eventually                        1.000000    0.000000    0.053173           5, 0
evergreen                         1.000000    0.301030    0.053173          2, 42
exist                             1.301030    0.000000    0.069180         11, 37
expect                            1.000000    0.301030    0.053173         11, 14
fade                              0.000000    0.301030    0.000000            N/A
failure                           1.000000    0.301030    0.053173         11, 29
faint                             0.000000    0.301030    0.000000            N/A
faintest                          0.000000    0.301030    0.000000            N/A
familiar                          1.000000    0.000000    0.053173          13, 4
feel                              1.602060    0.000000    0.085186           8, 7
field                             0.000000    0.301030    0.000000            N/A
figure                            1.000000    0.301030    0.053173          1, 70
fill                              1.301030    0.301030    0.069180          2, 21
find                              1.698970    0.000000    0.090339          3, 36
firm                              0.000000    0.301030    0.000000            N/A
fish                              1.301030    0.000000    0.069180           7, 4
flat                              1.000000    0.000000    0.053173           6, 4
fleeting                          1.000000    0.301030    0.053173          10, 1
flitted                           1.000000    0.301030    0.053173          1, 51
focus                             1.000000    0.301030    0.053173         10, 41
force                             0.000000    0.301030    0.000000            N/A
forest                            1.000000    0.000000    0.053173          2, 56
forget                            0.000000    0.301030    0.000000            N/A
freshness                         1.000000    0.301030    0.053173          0, 40
frighten                          1.000000    0.301030    0.053173          9, 28
full                              0.000000    0.301030    0.000000            N/A
gentle                            1.301030    0.000000    0.069180          0, 25
gentler                           1.000000    0.301030    0.053173         14, 57
gently                            1.000000    0.000000    0.053173          3, 46
give                              0.000000    0.301030    0.000000            N/A
glass                             1.000000    0.000000    0.053173          9, 20
glowing                           1.000000    0.301030    0.053173          9, 15
goals                             1.000000    0.301030    0.053173         10, 45
gold                              1.000000    0.301030    0.053173          0, 28
grasses                           1.000000    0.000000    0.053173          2, 24
grateful                          1.000000    0.301030    0.053173         14, 69
gratefully                        1.000000    0.301030    0.053173         13, 31
gratitude                         0.000000    0.301030    0.000000            N/A
ground                            1.000000    0.000000    0.053173           4, 9
grow                              1.301030    0.000000    0.069180           4, 3
guardians                         1.000000    0.000000    0.053173          2, 50
hadnt                             1.301030    0.000000    0.069180         10, 16
harmless                          0.000000    0.301030    0.000000            N/A
head                              1.000000    0.301030    0.053173          4, 64
hear                              0.000000    0.301030    0.000000            N/A
heavy                             1.000000    0.301030    0.053173          4, 16
herenot                           1.000000    0.000000    0.053173          6, 72
hide                              1.301030    0.000000    0.069180          8, 34
higher                            1.000000    0.000000    0.053173         14, 12
hold                              1.000000    0.000000    0.053173          3, 30
horizon                           1.000000    0.301030    0.053173          0, 23
hurry                             1.000000    0.301030    0.053173          3, 96
i                                 2.623249    0.000000    0.139486           0, 6
idea                              1.000000    0.301030    0.053173          6, 19
