=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/esp-01.txt
  - documents/esp-02.txt
  - documents/esp-03.txt

•Stop Words File: stop-words/stop-words-es.txt
•Lemmatization File: lemmatization/corpus-es.json

=============================== TABLES OF TERMS ================================

=========================== documents/esp-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
pensaba                           1.000000    0.477121    0.046899          4, 53
pensamientos                      0.000000    0.477121    0.000000            N/A
pensando                          1.000000    0.477121    0.046899          0, 55
pensar                            0.000000    0.477121    0.000000            N/A
pequeas                           1.000000    0.477121    0.046899          7, 57
pequeo                            0.000000    0.176091    0.000000            N/A
pequeos                           1.301030    0.477121    0.061018         10, 23
perderse                          1.000000    0.477121    0.046899          10, 6
perfecto                          0.000000    0.477121    0.000000            N/A
perfectos                         1.000000    0.477121    0.046899          7, 24
permanec                          1.000000    0.477121    0.046899          11, 4
permita                           1.000000    0.477121    0.046899          6, 55
persegua                          0.000000    0.477121    0.000000            N/A
pez                               1.000000    0.477121    0.046899           7, 3
piedra                            0.000000    0.477121    0.000000            N/A
pies                              0.000000    0.477121    0.000000            N/A
pino                              1.000000    0.477121    0.046899          4, 26
pinos                             1.000000    0.477121    0.046899          2, 35
pintando                          1.000000    0.477121    0.046899          0, 22
pjaros                            1.000000    0.477121    0.046899          1, 44
plana                             1.000000    0.477121    0.046899           6, 3
plantas                           1.000000    0.477121    0.046899          7, 44
poco                              1.000000    0.477121    0.046899           5, 0
poda                              1.000000    0.176091    0.046899         13, 36
pos                               1.000000    0.477121    0.046899           9, 3
prado                             1.301030    0.477121    0.061018          2, 15
precisin                          0.000000    0.477121    0.000000            N/A
pregunt                           1.000000    0.477121    0.046899           3, 1
preguntas                         0.000000    0.477121    0.000000            N/A
presente                          1.000000    0.477121    0.046899          4, 48
prestarme                         1.000000    0.477121    0.046899          1, 51
principio                         1.000000    0.477121    0.046899           2, 1
prisa                             1.301030    0.176091    0.061018          2, 60
produca                           0.000000    0.477121    0.000000            N/A
profunda                          1.000000    0.477121    0.046899          8, 27
profundamente                     0.000000    0.477121    0.000000            N/A
propio                            1.000000    0.477121    0.046899          1, 57
provena                           1.000000    0.477121    0.046899          7, 50
pureza                            1.000000    0.477121    0.046899          0, 38
qu                                1.301030    0.477121    0.061018           3, 3
que                               2.342423    0.000000    0.109858          0, 39
qued                              1.000000    0.477121    0.046899          9, 21
quedado                           0.000000    0.477121    0.000000            N/A
quera                             1.000000    0.477121    0.046899          6, 17
querer                            1.000000    0.477121    0.046899          9, 24
querra                            1.000000    0.477121    0.046899          0, 59
quieta                            0.000000    0.477121    0.000000            N/A
quieto                            1.000000    0.176091    0.046899          9, 22
quietud                           1.301030    0.477121    0.061018          3, 23
quit                              0.000000    0.477121    0.000000            N/A
quiz                              1.000000    0.477121    0.046899          8, 12
races                             1.000000    0.477121    0.046899          4, 11
rama                              1.301030    0.477121    0.061018          1, 47
ramas                             0.000000    0.477121    0.000000            N/A
rara                              1.000000    0.477121    0.046899         11, 30
razn                              0.000000    0.477121    0.000000            N/A
rboles                            1.698970    0.477121    0.079681          1, 22
recin                             0.000000    0.477121    0.000000            N/A
recordara                         0.000000    0.477121    0.000000            N/A
recordatorio                      1.301030    0.477121    0.061018          3, 79
recorrido                         1.000000    0.477121    0.046899           1, 6
recta                             1.000000    0.477121    0.046899          2, 38
reflejaban                        0.000000    0.477121    0.000000            N/A
reflejando                        1.000000    0.477121    0.046899          3, 46
regres                            0.000000    0.477121    0.000000            N/A
regresar                          1.000000    0.477121    0.046899          12, 6
regreso                           0.000000    0.477121    0.000000            N/A
reloj                             1.000000    0.477121    0.046899          6, 79
reposo                            0.000000    0.477121    0.000000            N/A
respir                            0.000000    0.477121    0.000000            N/A
respiraba                         0.000000    0.477121    0.000000            N/A
respiraciones                     0.000000    0.477121    0.000000            N/A
respirando                        0.000000    0.477121    0.000000            N/A
respirar                          1.000000    0.477121    0.046899          2, 49
respuesta                         1.000000    0.176091    0.046899         12, 30
restos                            0.000000    0.477121    0.000000            N/A
revelaba                          1.000000    0.477121    0.046899          1, 15
ritmo                             0.000000    0.477121    0.000000            N/A
roca                              1.000000    0.477121    0.046899           6, 2
rodeaba                           1.000000    0.477121    0.046899          3, 54
rompan                            0.000000    0.477121    0.000000            N/A
rompi                             1.000000    0.477121    0.046899          7, 14
rosados                           1.000000    0.477121    0.046899          0, 29
rozaba                            1.000000    0.477121    0.046899          5, 10
rozando                           0.000000    0.477121    0.000000            N/A
rozara                            0.000000    0.477121    0.000000            N/A
rpida                             0.000000    0.477121    0.000000            N/A
rpido                             1.000000    0.477121    0.046899          3, 94
ruido                             1.477121    0.477121    0.069276           8, 9
rumbo                             0.000000    0.477121    0.000000            N/A
s                                 1.301030    0.477121    0.061018          1, 42
saba                              1.000000    0.176091    0.046899          6, 14
sal                               0.000000    0.477121    0.000000            N/A
salado                            0.000000    0.477121    0.000000            N/A
salir                             1.301030    0.477121    0.061018           0, 7
salt                              1.000000    0.477121    0.046899           7, 4
saltaban                          1.000000    0.477121    0.046899          1, 45
se                                2.041393    0.000000    0.095740          2, 12
seco                              1.000000    0.477121    0.046899          6, 76
segn                              0.000000    0.477121    0.000000            N/A
segu                              0.000000    0.176091    0.000000            N/A
segua                             1.477121    0.176091    0.069276           2, 4
seguan                            1.000000    0.176091    0.046899         13, 17
segundos                          1.000000    0.477121    0.046899          9, 29
sendero                           1.477121    0.176091    0.069276           1, 1
sensacin                          1.000000    0.176091    0.046899         12, 35
sent                              1.000000    0.000000    0.046899           6, 9
senta                             1.301030    0.477121    0.061018          1, 61
sentir                            0.000000    0.477121    0.000000            N/A
serenar                           1.000000    0.176091    0.046899          5, 37
siempre                           1.000000    0.477121    0.046899          3, 90
silenciar                         1.602060    0.176091    0.075136          3, 30
silencios                         0.000000    0.477121    0.000000            N/A
silenciosa                        0.000000    0.477121    0.000000            N/A
silencioso                        1.000000    0.477121    0.046899          1, 69
sino                              1.477121    0.176091    0.069276          1, 64
sinti                             1.000000    0.477121    0.046899          13, 5
siquiera                          0.000000    0.477121    0.000000            N/A
sol                               1.477121    0.176091    0.069276          0, 19
sonido                            1.000000    0.176091    0.046899          5, 15
suave                             1.477121    0.477121    0.069276          5, 16
suavemente                        1.000000    0.176091    0.046899          1, 31
suavidad                          0.000000    0.477121    0.000000            N/A
suelo                             1.000000    0.176091    0.046899          4, 14
supe                              1.000000    0.477121    0.046899          12, 3
superficie                        1.477121    0.000000    0.069276          5, 39
suspendidas                       0.000000    0.477121    0.000000            N/A
suspendido                        0.000000    0.477121    0.000000            N/A
tal                               1.602060    0.477121    0.075136          0, 57
tambin                            0.000000    0.477121    0.000000            N/A
tan                               1.301030    0.477121    0.061018          3, 93
tantas                            0.000000    0.477121    0.000000            N/A
tanto                             1.000000    0.477121    0.046899           3, 6
