=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/esp-01.txt
  - documents/esp-02.txt
  - documents/esp-03.txt
  - documents/esp-04.txt
  - documents/esp-05.txt

•Stop Words File: stop-words/stop-words-es.txt
•Lemmatization File: lemmatization/corpus-es.json

=============================== TABLES OF TERMS ================================

=========================== documents/esp-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
izquierda                         1.000000    0.698970    0.046899          2, 11
joven                             0.000000    0.698970    0.000000            N/A
juntar                            0.000000    0.221849    0.000000            N/A
justo                             1.000000    0.698970    0.046899         11, 33
lado                              1.000000    0.698970    0.046899          6, 41
lago                              2.041393    0.698970    0.095740          0, 65
le                                1.000000    0.397940    0.046899         11, 13
lejano                            0.000000    0.397940    0.000000            N/A
lentitud                          1.000000    0.397940    0.046899          6, 47
lento                             1.000000    0.397940    0.046899          2, 55
levant                            0.000000    0.397940    0.000000            N/A
levar                             0.000000    0.698970    0.000000            N/A
leyendo                           0.000000    0.698970    0.000000            N/A
liblula                           1.000000    0.698970    0.046899           9, 1
libro                             0.000000    0.698970    0.000000            N/A
ligero                            1.000000    0.698970    0.046899         14, 30
limpio                            0.000000    0.698970    0.000000            N/A
listas                            0.000000    0.698970    0.000000            N/A
llamaron                          1.000000    0.698970    0.046899          1, 25
lleg                              0.000000    0.698970    0.000000            N/A
llegada                           0.000000    0.698970    0.000000            N/A
llegadas                          0.000000    0.698970    0.000000            N/A
llegando                          1.000000    0.698970    0.046899          6, 23
llegar                            0.000000    0.221849    0.000000            N/A
llegara                           1.000000    0.698970    0.046899          0, 63
llegu                             1.000000    0.397940    0.046899          14, 1
llen                              0.000000    0.698970    0.000000            N/A
llena                             1.000000    0.698970    0.046899           8, 7
lleno                             1.000000    0.698970    0.046899         14, 22
llev                              1.301030    0.698970    0.061018          0, 47
lleva                             0.000000    0.698970    0.000000            N/A
llevaban                          1.000000    0.698970    0.046899          6, 38
llevar                            0.000000    0.698970    0.000000            N/A
llevndose                         0.000000    0.698970    0.000000            N/A
llovido                           0.000000    0.698970    0.000000            N/A
luces                             0.000000    0.397940    0.000000            N/A
luego                             1.000000    0.397940    0.046899          5, 19
lugar                             1.000000    0.397940    0.046899          3, 37
lugares                           0.000000    0.397940    0.000000            N/A
luna                              0.000000    0.698970    0.000000            N/A
luz                               1.602060    0.397940    0.075136          0, 15
m                                 1.000000    0.096910    0.046899          5, 30
maana                             1.477121    0.698970    0.069276           0, 4
madera                            0.000000    0.698970    0.000000            N/A
maleta                            0.000000    0.698970    0.000000            N/A
manera                            0.000000    0.698970    0.000000            N/A
mano                              0.000000    0.698970    0.000000            N/A
mantena                           1.000000    0.698970    0.046899          4, 47
mar                               0.000000    0.698970    0.000000            N/A
marc                              0.000000    0.698970    0.000000            N/A
marcaba                           0.000000    0.698970    0.000000            N/A
marcaban                          0.000000    0.698970    0.000000            N/A
marcan                            0.000000    0.698970    0.000000            N/A
me                                2.230449    0.000000    0.104607          1, 60
mecan                             1.000000    0.698970    0.046899          2, 23
mecindose                         1.000000    0.698970    0.046899         13, 14
medianoche                        0.000000    0.698970    0.000000            N/A
medida                            1.000000    0.698970    0.046899           4, 1
medio                             0.000000    0.397940    0.000000            N/A
menos                             1.000000    0.221849    0.046899          6, 72
mesa                              0.000000    0.698970    0.000000            N/A
metal                             0.000000    0.698970    0.000000            N/A
metlica                           0.000000    0.698970    0.000000            N/A
mi                                1.301030    0.221849    0.061018          1, 26
mide                              0.000000    0.698970    0.000000            N/A
minutos                           0.000000    0.698970    0.000000            N/A
miraba                            0.000000    0.698970    0.000000            N/A
mirada                            0.000000    0.698970    0.000000            N/A
mirado                            0.000000    0.698970    0.000000            N/A
mirando                           0.000000    0.397940    0.000000            N/A
mirar                             1.301030    0.397940    0.061018          4, 37
misma                             0.000000    0.698970    0.000000            N/A
mismo                             1.000000    0.397940    0.046899         13, 10
mismos                            0.000000    0.698970    0.000000            N/A
mojada                            0.000000    0.698970    0.000000            N/A
mojadas                           0.000000    0.698970    0.000000            N/A
molestaba                         1.000000    0.698970    0.046899          4, 43
molido                            0.000000    0.698970    0.000000            N/A
momento                           1.000000    0.096910    0.046899          2, 47
momentos                          1.301030    0.397940    0.061018         10, 24
monedas                           0.000000    0.698970    0.000000            N/A
mostramos                         0.000000    0.698970    0.000000            N/A
mova                              0.000000    0.698970    0.000000            N/A
moverse                           1.000000    0.698970    0.046899          3, 92
movimiento                        1.000000    0.096910    0.046899         14, 24
movimientos                       1.000000    0.698970    0.046899          7, 45
ms                                2.176091    0.397940    0.102057          0, 48
muchas                            1.000000    0.698970    0.046899           1, 7
mujer                             0.000000    0.397940    0.000000            N/A
mundo                             1.602060    0.221849    0.075136          1, 58
murmullo                          0.000000    0.698970    0.000000            N/A
murmuraban                        1.000000    0.698970    0.046899          1, 40
musgo                             0.000000    0.698970    0.000000            N/A
nada                              1.000000    0.096910    0.046899         11, 11
nadie                             0.000000    0.397940    0.000000            N/A
necesita                          1.000000    0.221849    0.046899          3, 91
necesitaba                        1.000000    0.221849    0.046899         11, 36
necesitan                         0.000000    0.698970    0.000000            N/A
nerviosa                          0.000000    0.698970    0.000000            N/A
ni                                1.301030    0.221849    0.061018          4, 58
nico                              0.000000    0.698970    0.000000            N/A
ningn                             1.000000    0.221849    0.046899          3, 35
ninguna                           0.000000    0.698970    0.000000            N/A
no                                2.255273    0.000000    0.105771          0, 46
noche                             0.000000    0.096910    0.000000            N/A
noches                            0.000000    0.698970    0.000000            N/A
