=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/document-01.txt
  - documents/document-02.txt
  - documents/document-03.txt
  - documents/document-04.txt
  - documents/document-05.txt
  - documents/document-06.txt
  - documents/document-07.txt
  - documents/document-08.txt
  - documents/document-09.txt
  - documents/document-10.txt

•Stop Words File: stop-words/stop-words-en.txt
•Lemmatization File: lemmatization/corpus-en.json

=============================== TABLES OF TERMS ================================

=========================== documents/document-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
rugged                            1.000000    1.000000    0.056713          4, 15
run                               0.000000    1.000000    0.000000            N/A
rush                              1.000000    0.000000    0.056713         10, 45
rustled                           1.000000    1.000000    0.056713          1, 25
scare                             0.000000    0.522879    0.000000            N/A
scattered                         0.000000    0.397940    0.000000            N/A
scattering                        0.000000    0.698970    0.000000            N/A
scene                             0.000000    1.000000    0.000000            N/A
scent                             0.000000    1.000000    0.000000            N/A
schedule                          1.000000    0.698970    0.056713          2, 84
schedules                         0.000000    0.522879    0.000000            N/A
sea                               0.000000    0.698970    0.000000            N/A
seconds                           0.000000    0.522879    0.000000            N/A
secrets                           0.000000    0.698970    0.000000            N/A
send                              0.000000    0.397940    0.000000            N/A
sense                             1.000000    0.522879    0.056713          3, 60
sentinels                         0.000000    1.000000    0.000000            N/A
sentries                          0.000000    1.000000    0.000000            N/A
separate                          1.000000    1.000000    0.056713          3, 86
set                               0.000000    0.522879    0.000000            N/A
settle                            0.000000    1.000000    0.000000            N/A
shades                            0.000000    0.698970    0.000000            N/A
shake                             0.000000    1.000000    0.000000            N/A
shards                            0.000000    1.000000    0.000000            N/A
share                             0.000000    1.000000    0.000000            N/A
sharp                             0.000000    0.045757    0.000000            N/A
sharper                           1.000000    1.000000    0.056713          4, 27
sheet                             0.000000    1.000000    0.000000            N/A
shift                             0.000000    0.698970    0.000000            N/A
shimmered                         1.000000    0.522879    0.056713          5, 52
shimmering                        0.000000    0.698970    0.000000            N/A
shine                             0.000000    0.096910    0.000000            N/A
shore                             1.301030    0.045757    0.073786          5, 27
short                             0.000000    1.000000    0.000000            N/A
side                              1.301030    0.522879    0.073786          2, 14
sight                             1.000000    0.698970    0.056713          5, 10
sightthe                          0.000000    0.698970    0.000000            N/A
silence                           0.000000    0.154902    0.000000            N/A
silent                            0.000000    0.522879    0.000000            N/A
silently                          0.000000    1.000000    0.000000            N/A
simple                            0.000000    0.698970    0.000000            N/A
simpler                           0.000000    1.000000    0.000000            N/A
simply                            1.301030    0.000000    0.073786          9, 39
single                            1.000000    0.698970    0.056713          7, 28
sit                               1.301030    0.000000    0.073786           6, 1
sky                               1.602060    0.000000    0.090858          0, 24
slide                             0.000000    0.698970    0.000000            N/A
slip                              0.000000    0.397940    0.000000            N/A
slow                              1.000000    0.045757    0.056713          3, 79
slower                            0.000000    1.000000    0.000000            N/A
slowly                            1.000000    0.045757    0.056713          6, 55
small                             1.477121    0.000000    0.083772          0, 56
smell                             1.000000    0.045757    0.056713          4, 26
smooth                            0.000000    0.397940    0.000000            N/A
soft                              1.000000    0.096910    0.056713          5, 30
soften                            0.000000    0.698970    0.000000            N/A
softer                            1.000000    0.397940    0.056713          6, 76
softly                            0.000000    0.301030    0.000000            N/A
soil                              0.000000    0.154902    0.000000            N/A
solemn                            0.000000    1.000000    0.000000            N/A
solid                             0.000000    1.000000    0.000000            N/A
solution                          0.000000    0.522879    0.000000            N/A
solutions                         0.000000    0.698970    0.000000            N/A
solve                             1.000000    0.522879    0.056713         14, 32
soughtthe                         0.000000    1.000000    0.000000            N/A
sound                             1.301030    0.154902    0.073786           5, 2
speak                             0.000000    1.000000    0.000000            N/A
specific                          0.000000    1.000000    0.000000            N/A
speed                             1.000000    0.698970    0.056713         12, 20
splash                            1.000000    0.045757    0.056713           7, 8
spread                            1.000000    0.096910    0.056713          7, 14
stained                           1.000000    0.698970    0.056713          9, 24
stand                             1.000000    0.000000    0.056713          2, 40
stare                             0.000000    0.301030    0.000000            N/A
start                             0.000000    0.301030    0.000000            N/A
startle                           0.000000    1.000000    0.000000            N/A
startled                          0.000000    1.000000    0.000000            N/A
startling                         1.000000    1.000000    0.056713          9, 31
stationed                         0.000000    1.000000    0.000000            N/A
stay                              1.000000    0.301030    0.056713          4, 56
steady                            0.000000    0.154902    0.000000            N/A
steadymaybe                       0.000000    1.000000    0.000000            N/A
steadywaves                       0.000000    1.000000    0.000000            N/A
step                              1.477121    0.000000    0.083772          4, 44
stillness                         1.602060    0.000000    0.090858          3, 33
stir                              0.000000    0.301030    0.000000            N/A
stone                             0.000000    0.397940    0.000000            N/A
stop                              1.000000    0.154902    0.056713         10, 17
straight                          0.000000    0.397940    0.000000            N/A
straightening                     0.000000    1.000000    0.000000            N/A
streaks                           0.000000    0.698970    0.000000            N/A
stream                            0.000000    0.698970    0.000000            N/A
stretch                           1.000000    0.000000    0.056713          5, 44
strict                            0.000000    1.000000    0.000000            N/A
strike                            0.000000    1.000000    0.000000            N/A
strokes                           1.000000    1.000000    0.056713          0, 27
succeed                           0.000000    1.000000    0.000000            N/A
success                           0.000000    0.154902    0.000000            N/A
successful                        1.000000    0.698970    0.056713         11, 34
sudden                            1.000000    0.698970    0.056713           7, 7
suddenly                          0.000000    1.000000    0.000000            N/A
sun                               1.477121    0.000000    0.083772          0, 16
sunlight                          1.000000    0.096910    0.056713          9, 13
surface                           1.477121    0.000000    0.083772          5, 51
swayed                            1.301030    0.154902    0.073786          2, 25
swaying                           0.000000    1.000000    0.000000            N/A
swooping                          0.000000    1.000000    0.000000            N/A
talk                              1.000000    1.000000    0.056713          1, 39
tall                              1.000000    0.000000    0.056713          2, 23
tangled                           0.000000    1.000000    0.000000            N/A
tangles                           0.000000    1.000000    0.000000            N/A
thickened                         0.000000    0.698970    0.000000            N/A
thicker                           0.000000    1.000000    0.000000            N/A
thin                              0.000000    0.301030    0.000000            N/A
thrivedfish                       0.000000    1.000000    0.000000            N/A
tick                              0.000000    0.522879    0.000000            N/A
tide                              0.000000    1.000000    0.000000            N/A
tides                             0.000000    1.000000    0.000000            N/A
time                              1.477121    0.000000    0.083772           1, 9
timeless                          0.000000    0.698970    0.000000            N/A
tiny                              1.000000    0.698970    0.056713          9, 21
today                             1.000000    0.698970    0.056713          1, 17
tomorrow                          0.000000    0.698970    0.000000            N/A
tomorrowi                         0.000000    1.000000    0.000000            N/A
tooit                             1.000000    1.000000    0.056713          4, 49
toowithout                        0.000000    1.000000    0.000000            N/A
touch                             1.000000    0.154902    0.056713          6, 46
track                             0.000000    0.698970    0.000000            N/A
trail                             1.000000    0.000000    0.056713          4, 10
trap                              0.000000    0.698970    0.000000            N/A
travel                            1.000000    1.000000    0.056713          7, 23
traveler                          1.000000    0.698970    0.056713          1, 64
trees                             1.602060    0.000000    0.090858          1, 19
trembled                          0.000000    1.000000    0.000000            N/A
trip                              0.000000    0.698970    0.000000            N/A
turn                              1.000000    1.000000    0.056713          4, 11
twist                             0.000000    0.698970    0.000000            N/A
unafraid                          0.000000    1.000000    0.000000            N/A
